"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"sme_batchResults","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"sme_batchResults","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","N",""
"sme_batchResults","processedDate","Date or date and time of processing event","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"sme_batchResults","batchID","Identifier for batch or analytical run","string",NA,"expanded","asIs","Y",""
"sme_batchResults","lipidID","Identifier of lipid standard used for quality assurance testing","string",NA,"expanded","asIs","Y",""
"sme_batchResults","analysisStandardID","Manufacturer and catalog number of analytical standard","string",NA,"expanded","asIs","N",""
"sme_batchResults","lotNumber","Lot number for standard","string",NA,"expanded","asIs","N",""
"sme_batchResults","analyteKnownValue","The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"sme_batchResults","analyteObservedValue","The measured value of a given analyte for a standard reference material, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"sme_batchResults","analyteUnits","Associated units of measure for analyte","string",NA,"expanded","asIs","N",""
"sme_batchResults","extractEffStdID","Identifier of lipid standard used for measuring extraction efficiency","string",NA,"expanded","asIs","N",""
"sme_batchResults","extractEffStdUnits","Associated units of measure for extraction efficiency standard","string",NA,"expanded","asIs","N",""
"sme_batchResults","analyteStandardQF","Quality flag for the analyte standard/s","string",NA,"expanded","LOV","N","sme.analyteStandardQF"
"sme_batchResults","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"sme_labSummary","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"sme_labSummary","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","N",""
"sme_labSummary","labSpecificStartDate","Date a specific analyte, instrument, and associated method detection limit combination started","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"sme_labSummary","labSpecificEndDate","Date a specific analyte, instrument, and associated method detection limit combination ended","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"sme_labSummary","testProtocolVersion","The protocol version used to test the sample","string",NA,"expanded","LOV","N","sme.testProtocolVersion"
"sme_labSummary","lipidID","Identifier of lipid standard used for quality assurance testing","string",NA,"expanded","asIs","Y",""
"sme_labSummary","analysisStandardID","Manufacturer and catalog number of analytical standard","string",NA,"expanded","LOV","Y","sme.analysisStandardID"
"sme_labSummary","analyteKnownValue","The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"sme_labSummary","instrument","Type of instrument used for the analysis","string",NA,"expanded","LOV","N","sme.instrument"
"sme_labSummary","analyteAccuracy","Long-term average accuracy, e.g. the absolute difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.##(round)","N",""
"sme_labSummary","analyteStandardDeviation","Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.##(round)","N",""
"sme_labSummary","reviewedBy","Name of lab personnel who reviewed the data prior to submission","string",NA,"expanded","obfuscate","N",""
"sme_labSummary","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"sme_microbialBiomass","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","siteID","NEON site code","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","decimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"sme_microbialBiomass","decimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"sme_microbialBiomass","geodeticDatum","Model used to measure horizontal position on the earth","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","coordinateUncertainty","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.##(round)","N",""
"sme_microbialBiomass","elevation","Elevation (in meters) above sea level","real","meter","basic","*.#(round)","N",""
"sme_microbialBiomass","elevationUncertainty","Uncertainty in elevation values (in meters)","real","meter","basic","*.#(round)","N",""
"sme_microbialBiomass","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"sme_microbialBiomass","processedDate","Date or date and time of processing event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"sme_microbialBiomass","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","sampleID","Identifier for sample","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","sampleCode","Barcode of a sample","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","biomassID","Identifier for biomass sample","string",NA,"basic","asIs","Y",""
"sme_microbialBiomass","internalLabID","Internal identifier used by the external facility","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","batchID","Identifier for batch or analytical run","string",NA,"basic","asIs","N",""
"sme_microbialBiomass","testProtocolVersion","The protocol version used to test the sample","string",NA,"basic","LOV","N","sme.testProtocolVersion"
"sme_microbialBiomass","freshMass","Total fresh mass of a sample","real","gram","basic","*.##(round)","N",""
"sme_microbialBiomass","freezeDryMass","Mass of sample after freeze drying","real","gram","basic","*.##(round)","N",""
"sme_microbialBiomass","c8To0Concentration","Concentration of octanoate methyl ester, c8:0","real","nanomolesPerGram","basic","*.##(round)","N",""
"sme_microbialBiomass","c10To0Concentration","Concentration of decanoate methyl ester, c10:0","real","nanomolesPerGram","basic","*.##(round)","N",""
