"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"bgc_CNiso_externalSummary","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","analyte","Analyte or parameter measured","string",NA,"expanded","LOV","Y","bgc.analyte"
"bgc_CNiso_externalSummary","analyteUnits","Associated units of measure for analyte","string",NA,"expanded","LOV","N","bgc.analyteUnits"
"bgc_CNiso_externalSummary","sampleType","Type of sample","string",NA,"expanded","LOV","Y","bgc.sampleType"
"bgc_CNiso_externalSummary","qaReferenceID","Identifier for quality assurance reference material or standard","string",NA,"expanded","asIs","Y",""
"bgc_CNiso_externalSummary","analyteKnownValue","The known value of a given analyte for a quality assurance reference material or standard, with units tied to the analyte","real",NA,"expanded","*.##(round)","Y",""
"bgc_CNiso_externalSummary","analyteObservedValue","The measured value of a given analyte for a standard reference material, with units tied to the analyte","real",NA,"expanded","*.##(round)","N",""
"bgc_CNiso_externalSummary","analyteAbsoluteError","Long-term average absolute error, e.g. the difference between observed and known values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.###(round)","N",""
"bgc_CNiso_externalSummary","analyteStandardDeviation","Long-term average standard deviation values of the analyte, based on analysis of quality assurance reference materials or standards treated as unknowns","real",NA,"expanded","*.###(round)","N",""
"bgc_CNiso_externalSummary","analyteMetricsCount","Count of how many measurements were used to determine analyte metrics","unsigned integer","number","expanded","integer","N",""
"bgc_CNiso_externalSummary","qaReportingStartDate","Start date for the quality assurance (QA) reporting period","dateTime",NA,"expanded","yyyy-MM-dd(floor)","Y",""
"bgc_CNiso_externalSummary","qaReportingEndDate","End date for the quality assurance (QA) reporting period","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"bgc_CNiso_externalSummary","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","Y",""
"bgc_CNiso_externalSummary","instrument","Type of instrument used for the analysis","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","testMethod","Method used to conduct test","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","method","Published method used for analysis","string",NA,"expanded","asIs","N",""
"bgc_CNiso_externalSummary","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"mpr_carbonNitrogen","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","analysisDate","Date that the sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"mpr_carbonNitrogen","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","siteID","NEON site code","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","plotType","NEON plot type in which sampling occurred: tower, distributed or gradient","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(round)","N",""
"mpr_carbonNitrogen","cnSampleID","Identifier for a carbon-nitrogen sample","string",NA,"basic","asIs","Y",""
"mpr_carbonNitrogen","cnSampleCode","Barcode of a carbon-nitrogen sample","string",NA,"basic","asIs","Y",""
"mpr_carbonNitrogen","sampleType","Type of sample","string",NA,"basic","LOV","N","bgc.sampleType"
"mpr_carbonNitrogen","d15N","Measure of the ratio of 15N:14N in a sample, relative to atmospheric N2","real","permill","basic","*.#(round)","N",""
"mpr_carbonNitrogen","d13C","Measure of the ratio of 13C:12C in a sample, relative to Vienna Pee Dee Belemnite","real","permill","basic","*.#(round)","N",""
"mpr_carbonNitrogen","nitrogenPercent","Percent nitrogen in a sample on a dry weight basis","real","percent","basic","*.##(round)","N",""
"mpr_carbonNitrogen","carbonPercent","Percent carbon in a sample on a dry weight basis","real","percent","basic","*.##(round)","N",""
"mpr_carbonNitrogen","CNratio","Ratio of carbon to nitrogen concentration in a sample on a dry weight basis","real",NA,"basic","*.#(round)","N",""
"mpr_carbonNitrogen","cnIsotopeQF","Quality flag for stable isotope values outside the calibration range","string",NA,"basic","LOV","N","bgc.cnIsotopeQF"
"mpr_carbonNitrogen","cnPercentQF","Quality flag for concentration values outside the calibration range","string",NA,"basic","LOV","N","bgc.cnPercentQF"
"mpr_carbonNitrogen","isotopeAccuracyQF","Quality flag for accuracy of stable isotope values of QA materials associated with the run","string",NA,"basic","LOV","N","bgc.isotopeAccuracyQF"
"mpr_carbonNitrogen","percentAccuracyQF","Quality flag for accuracy of percent concentration values of QA materials associated with the run","string",NA,"basic","LOV","N","bgc.percentAccuracyQF"
"mpr_carbonNitrogen","analyticalRepNumber","Number of the analytical replicate","unsigned integer","number","basic","integer","Y",""
"mpr_carbonNitrogen","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","testMethod","Method used to conduct test","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","instrument","Type of instrument used for the analysis","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","analyzedBy","Name of lab personnel analyzing sample","string",NA,"basic","obfuscate","N",""
"mpr_carbonNitrogen","reviewedBy","Name of lab personnel who reviewed the data prior to submission","string",NA,"basic","obfuscate","N",""
"mpr_carbonNitrogen","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"mpr_carbonNitrogen","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"mpr_carbonNitrogen","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"mpr_perdepthincrement","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"mpr_perdepthincrement","pitNamedLocation","Named location identifier for the soil pit","string",NA,"basic","asIs","N",""
"mpr_perdepthincrement","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"mpr_perdepthincrement","pitProfileID","An identifier for the vertical sampling profile","string",NA,"basic","asIs","N",""
"mpr_perdepthincrement","depthIncrementID","An identifier for the depth increment within a pit profile","string",NA,"basic","asIs","Y",""
"mpr_perdepthincrement","topDepth","Depth below the soil surface at the top of a soil root sample","real","centimeter","basic","*.#(round)","N",""
"mpr_perdepthincrement","bottomDepth","Depth below the soil surface at the bottom of a soil root sample","real","centimeter","basic","*.#(round)","N",""
"mpr_perdepthincrement","depthIncrementVolume","Sample volume within depth increment","real","cubicMeter","basic","signif_###(round)","N",""
"mpr_perdepthincrement","sampleMethod","Method used to collect samples","string",NA,"basic","LOV","N","mpr.SampleMethod"
"mpr_perdepthincrement","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"mpr_perdepthincrement","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"mpr_perdepthincrement","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"mpr_perpitprofile","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","pitNamedLocation","Named location identifier for the soil pit","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","siteID","NEON site code","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","decimalLatitude","The geographic latitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"mpr_perpitprofile","decimalLongitude","The geographic longitude (in decimal degrees, WGS84) of the geographic center of the reference area","real","decimalDegree","basic","*.######(round)","N",""
"mpr_perpitprofile","geodeticDatum","Model used to measure horizontal position on the earth","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","coordinateUncertainty","The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","real","meter","basic","*.##(round)","N",""
"mpr_perpitprofile","elevation","Elevation (in meters) above sea level","real","meter","basic","*.#(round)","N",""
"mpr_perpitprofile","elevationUncertainty","Uncertainty in elevation values (in meters)","real","meter","basic","*.#(round)","N",""
"mpr_perpitprofile","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"mpr_perpitprofile","pitID","An identifier for the soil pit","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","pitProfileID","An identifier for the vertical sampling profile","string",NA,"basic","asIs","Y",""
"mpr_perpitprofile","rootStatus","The state of an individual or sample","string",NA,"basic","LOV","Y","mpr.rootStatus"
"mpr_perpitprofile","sizeCategory","Categorical size class of an individual or sample","string",NA,"basic","LOV","Y","mpr.sizeCategory"
"mpr_perpitprofile","maxProfileDepth","The bottom most sampling depth per pitProfileID","real","centimeter","basic","*.#(round)","N",""
"mpr_perpitprofile","totalRootBiomass","Total root biomass per horizontal surface area to max pit depth","real","gramsPerSquareMeter","basic","*.##(round)","N",""
"mpr_perpitprofile","depth100RootBiomass","Total root biomass per horizontal surface area to 100 cm depth","real","gramsPerSquareMeter","basic","*.##(round)","N",""
"mpr_perpitprofile","samplingProtocolVersion","The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","rootsCollectedByA","An identifier for one of the people who collected the root sample(s) or specimen(s)","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","rootsCollectedByB","An identifier for one of the people who collected the root sample(s) or specimen(s)","string",NA,"basic","asIs","N",""
"mpr_perpitprofile","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"mpr_perpitprofile","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"mpr_perrootsample","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"mpr_perrootsample","pitNamedLocation","Named location identifier for the soil pit","string",NA,"basic","asIs","N",""
"mpr_perrootsample","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"mpr_perrootsample","depthIncrementID","An identifier for the depth increment within a pit profile","string",NA,"basic","asIs","N",""
"mpr_perrootsample","sampleID","Identifier for sample","string",NA,"basic","asIs","Y",""
"mpr_perrootsample","archiveID","Identifier for the archive sample","string",NA,"basic","asIs","N",""
"mpr_perrootsample","rootStatus","The state of an individual or sample","string",NA,"basic","LOV","N","mpr.rootStatus"
"mpr_perrootsample","sizeCategory","Categorical size class of an individual or sample","string",NA,"basic","LOV","N","mpr.sizeCategory"
"mpr_perrootsample","rootDryMass","Oven-dried mass of root sample or subsample","real","gram","basic","*.####(round)","N",""
"mpr_perrootsample","incrementRootBiomass","Root biomass per horizontal surface area per depth increment","real","gramsPerSquareMeter","basic","*.##(round)","N",""
"mpr_perrootsample","incrementRootDensity","Root biomass per collected soil volume per depth increment","real","gramsPerCubicMeter","basic","*.##(round)","N",""
"mpr_perrootsample","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"mpr_perrootsample","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
