name,pubCode,description,startDate,endDate
"mga.instrument","eppendorf mastercycler nexus thermal cycler Item# UX-93944-32","eppendorf mastercycler nexus thermal cycler Item# UX-93944-32",2012-01-01T00:00:00Z,
"mga.instrument","ABI 7500 Fast","ABI 7500 Fast Real-Time PCR System",2012-01-01T00:00:00Z,
"mga.instrument","Roche Diagnostics Light Cycler 480","Roche Diagnostics Light Cycler 480",2012-01-01T00:00:00Z,
"mga.qpcrDetectionMethod","DNA binding dye","DNA binding dye",2012-01-01T00:00:00Z,
"mga.qpcrDetectionMethod","Probe","Oligonucleotide probe",2012-01-01T00:00:00Z,
"mga.sampleCondition","OK","No damage or defects",2012-01-01T00:00:00Z,
"mga.sampleCondition","cold chain broken","cold chain broken",2012-01-01T00:00:00Z,
"mga.sampleCondition","other","other",2012-01-01T00:00:00Z,
"mga.standardDescription","Fungal genomic DNA standards, ATCC 204094D-5, ATCC 56472D-5, ATCC MYA-4609D-2","Fungal genomic DNA standards, ATCC 204094D-5, ATCC 56472D-5, ATCC MYA-4609D-2",2013-01-01T00:00:00Z,
"mga.standardDescription","Fungal genomic DNA standard, ATCC, 1015D-2","Fungal genomic DNA standard, ATCC, 1015D-2",2013-01-01T00:00:00Z,
"mga.standardDescription","Fungal genomic DNA standard, ATCC, 38163D-5","Fungal genomic DNA standard, ATCC, 38163D-5",2013-01-01T00:00:00Z,
"mga.standardDescription","Archaeal genomic DNA standard, ATCC 700653D; Bacterial live cell consortium, BEI Resources HM-280","Archaeal genomic DNA standard, ATCC 700653D; Bacterial live cell consortium, BEI Resources HM-280",2013-01-01T00:00:00Z,
"mga.standardDescription","genomic DNA","genomic DNA",2013-01-01T00:00:00Z,2017-12-31T00:00:00Z
"mga.targetGene","16S","16S ribosomal RNA gene",2012-01-01T00:00:00Z,
"mga.targetGene","ITS","ITS region of small subunit RNA gene",2012-01-01T00:00:00Z,
"mga.targetTaxonGroup","bacteria","bacteria",2012-01-01T00:00:00Z,
"mga.targetTaxonGroup","archaea","archaea",2012-01-01T00:00:00Z,
"mga.targetTaxonGroup","bacteria and archaea","bacteria and archaea",2012-01-01T00:00:00Z,
"mga.targetTaxonGroup","fungi","fungi",2012-01-01T00:00:00Z,
"mga.testProtocolVersion","ANL_soil_qPCR_SOP_2015","ANL_soil_qPCR_SOP_2015",2012-01-01T00:00:00Z,
"mga.testProtocolVersion","BMI_qPCR_SOP_v1","BMI_qPCR_SOP_v1",2012-01-01T00:00:00Z,
"mga.testProtocolVersion","BMI_qPCR_SOP_v2","BMI_qPCR_SOP_v2",2013-01-01T00:00:00Z,
"mga.testProtocolVersion","BMI_qPCR_SOP_v3","BMI_qPCR_SOP_v3",2013-01-01T00:00:00Z,
"mga.testProtocolVersion","BMI_qPCR_SOP_v4","BMI_qPCR_SOP_v4",2013-01-01T00:00:00Z,
"mga.testProtocolVersion","BMI_qPCR_SOP_v5","BMI_qPCR_SOP_v5",2013-01-01T00:00:00Z,
"mga.testProtocolVersion","BMI_qPCR_SOP_v6","BMI_qPCR_SOP_v6",2013-01-01T00:00:00Z,
"mmg.sampleMaterial","soil","Soil sample",2012-01-01T00:00:00Z,
"mmg.sampleMaterial","water","Surface water filter sample",2012-01-01T00:00:00Z,
"mmg.sampleMaterial","biofilm","Benthic grab sample of biofilm from a lotic habitat (epilithon or epixylon)",2012-01-01T00:00:00Z,
"mmg.sampleMaterial","plant-associated","Benthic grab sample of plant-associated microbes from a lotic habitat (epiphyton)",2012-01-01T00:00:00Z,
"mmg.sampleMaterial","sediment","Benthic grab sample of sediment from a lotic habitat (epipsammon or epipelon)",2012-01-01T00:00:00Z,
"mmg.sampleMaterial","surface water filter","Surface water filter sample",2012-01-01T00:00:00Z,2018-01-10T00:00:00Z
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
