"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"mga_batchResults","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
"mga_batchResults","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"expanded","asIs","N",""
"mga_batchResults","startDate","The start date-time or interval during which an event occurred","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"mga_batchResults","endDate","The end date-time or interval during which an event occurred","dateTime",NA,"expanded","yyyy-MM-dd(floor)","N",""
"mga_batchResults","batchID","Identifier for batch or analytical run","string",NA,"expanded","asIs","Y",""
"mga_batchResults","noTemplateControlCq","Quantification or threshold cycle number for no template control","integer",NA,"expanded","integer","N",""
"mga_batchResults","calCurveSlope","Slope of assay calibration curve for the quantification cycle versus log10 of the template concentration","real",NA,"expanded","*.#(round)","N",""
"mga_batchResults","calCurveIntercept","y-intercept of assay calibration curve for the quantification cycle versus log10 of the template concentration","real",NA,"expanded","*.###(round)","N",""
"mga_batchResults","standardDescription","Description of assay standard used","string",NA,"expanded","LOV","N","mga.standardDescription"
"mga_batchResults","linearDynamicRangeLower","The lower range of gene copy number in which the threshold cycle versus the dilution factor fits a straight line on a base-10 semi-logarithmic graph","real","numberPerNanogram","expanded","*.#(round)","N",""
"mga_batchResults","linearDynamicRangeUpper","The upper range of gene copy number in which the threshold cycle versus the dilution factor fits a straight line on a base-10 semi-logarithmic graph","real","numberPerNanogram","expanded","*.#(round)","N",""
"mga_batchResults","lodCqVar","Variability in quantification cycle threshold at the limit of detection","real",NA,"expanded","*.#(round)","N",""
"mga_batchResults","negControl1Result","Result for negative control sample 1","string",NA,"expanded","asIs","N",""
"mga_batchResults","negControl2Result","Result for negative control sample 2","string",NA,"expanded","asIs","N",""
"mga_batchResults","negControl3Result","Result for negative control sample 3","string",NA,"expanded","asIs","N",""
"mga_batchResults","negControl4Result","Result for negative control sample 4","string",NA,"expanded","asIs","N",""
"mga_batchResults","negControl5Result","Result for negative control sample 5","string",NA,"expanded","asIs","N",""
"mga_batchResults","calCurveRsquared","R-squared value for calibration curve","real",NA,"expanded","*.##(round)","N",""
"mga_batchResults","pcrEfficiency","Efficiency of PCR reaction","real","percent","expanded","*.#(round)","N",""
"mga_batchResults","pcrEfficiencyConfInt","Confidence interval for PCR efficiency","real",NA,"expanded","*.#(round)","N",""
"mga_batchResults","dataQF","Data quality flag","string",NA,"expanded","asIs","N",""
"mga_labSummary","uid","Unique ID within NEON database; an identifier for the record","string",NA,"expanded","asIs","N",""
