"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"mcc_soilSeqVariantMetadata_16S","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","siteID","NEON site code","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","laboratoryName","Name of the laboratory or facility that is processing the sample","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm'Z'(floor)","N",""
"mcc_soilSeqVariantMetadata_16S","analysisDate","Date that the sample was analyzed","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"mcc_soilSeqVariantMetadata_16S","sampleMaterial","The material in which a sample was embedded prior to the sampling event","string",NA,"basic","LOV","N","mcc.sampleMaterial"
"mcc_soilSeqVariantMetadata_16S","geneticSampleID","Identifier for the genetic sample","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","geneticSampleCode","Barcode of a genetic sample","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","dnaSampleID","Identifier for DNA sample","string",NA,"basic","asIs","Y",""
"mcc_soilSeqVariantMetadata_16S","dnaSampleCode","Barcode of a DNA sample","string",NA,"basic","asIs","Y",""
"mcc_soilSeqVariantMetadata_16S","internalLabID","Internal identifier used by the external facility","string",NA,"basic","asIs","Y",""
"mcc_soilSeqVariantMetadata_16S","sequencerRunID","Identifier for the sequencing run","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","downloadFileUrl","The URL of the file linked to the record","uri",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","downloadFileName","The name of the user-downloaded file that is linked to the record","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","codeVersion","Method used to conduct the bioinformatic analysis from raw sequencing files","string",NA,"basic","LOV","N","mcc.testMethod"
"mcc_soilSeqVariantMetadata_16S","targetGene","Targeted gene or locus name","string",NA,"basic","LOV","N","mmg.targetGene"
"mcc_soilSeqVariantMetadata_16S","targetTaxonGroup","Taxonomic group targeted","string",NA,"basic","LOV","N","mcc.targetTaxonGroup"
"mcc_soilSeqVariantMetadata_16S","processedBy","An identifier for the technician who processed the sample(s)","string",NA,"basic","obfuscate","N",""
"mcc_soilSeqVariantMetadata_16S","reviewedBy","Name of lab personnel who reviewed the data prior to submission","string",NA,"basic","obfuscate","N",""
"mcc_soilSeqVariantMetadata_16S","remarks","Technician notes; free text comments accompanying the record","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","sampleFilteredReadNumber","Number of sequence reads that pass quality filtering","unsigned integer","number","basic","integer","N",""
"mcc_soilSeqVariantMetadata_16S","sequenceCountQF","Quality flag for number of sequences analyzed","string",NA,"basic","LOV","N","mcc.sequenceCountQF"
"mcc_soilSeqVariantMetadata_16S","dataQF","Data quality flag","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_16S","publicationDate","Date of data publication on the NEON data portal","dateTime",NA,"appended by stackByTable",NA,"N",""
"mcc_soilSeqVariantMetadata_16S","release","Identifier for data release","string",NA,"appended by stackByTable",NA,"N",""
"mcc_soilSeqVariantMetadata_ITS","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","siteID","NEON site code","string",NA,"basic","asIs","N",""
"mcc_soilSeqVariantMetadata_ITS","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
