uid,domainID,siteID,plotID,namedLocation,laboratoryName,collectDate,analysisDate,sampleMaterial,geneticSampleID,geneticSampleCode,dnaSampleID,dnaSampleCode,internalLabID,downloadFileUrl,downloadFileName,codeVersion,targetGene,targetTaxonGroup,processedBy,reviewedBy,remarks,sampleFilteredReadNumber,sequenceCountQF,dataQF,publicationDate,release,sequencerRunID
f893aff7-90ff-4588-9224-a5c8e7b31ccd,D01,BART,BART_028,BART_028.basePlot.bgc,NEON HQ,2014-07-22T18:46Z,2020-10-19,soil,BART_028-O-0-30-20140722-GEN,,BART_028-O-0-30-20140722-GEN-DNA2,,BMI_Plate21WellA3,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_028-O-0-30-20140722-GEN-DNA2_16S_20201203T223141.538Z.csv,BART_028-O-0-30-20140722-GEN-DNA2_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,7902,OK,,20201217T040925Z,PROVISIONAL,
9175f61f-af0a-4aa6-8743-7fb7b6d7e355,D01,BART,BART_028,BART_028.basePlot.bgc,NEON HQ,2014-07-22T18:46Z,2020-10-19,soil,BART_028-M-0-30-20140722-GEN,,BART_028-M-0-30-20140722-GEN-DNA2,,BMI_Plate21WellA5,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_028-M-0-30-20140722-GEN-DNA2_16S_20201203T223141.511Z.csv,BART_028-M-0-30-20140722-GEN-DNA2_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,17407,OK,,20201217T040925Z,PROVISIONAL,
2b374150-a6d1-4f66-8d74-8288fbbb5d52,D01,BART,BART_040,BART_040.basePlot.bgc,NEON HQ,2016-04-18T16:56Z,2020-10-19,soil,BART_040-O-14.5-7-20160418-GEN,,BART_040-O-14.5-7-20160418-GEN-DNA1,,BMI_Plate1WellH10,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_040-O-14.5-7-20160418-GEN-DNA1_16S_20201203T222306.124Z.csv,BART_040-O-14.5-7-20160418-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,9832,OK,,20210113T181344Z,RELEASE-2021,""
598d8de1-6f6f-4a61-b340-a55c67b1227d,D01,BART,BART_040,BART_040.basePlot.bgc,NEON HQ,2016-04-18T17:29Z,2020-10-19,soil,BART_040-O-0.5-20-20160418-GEN,,BART_040-O-0.5-20-20160418-GEN-DNA1,,BMI_Plate1WellH6,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_040-O-0.5-20-20160418-GEN-DNA1_16S_20201203T222306.092Z.csv,BART_040-O-0.5-20-20160418-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,13091,OK,,20210113T181344Z,RELEASE-2021,""
e3900e92-4d8c-4544-9196-07312affadab,D01,BART,BART_040,BART_040.basePlot.bgc,NEON HQ,2016-04-18T17:49Z,2020-10-19,soil,BART_040-O-32-23-20160418-GEN,,BART_040-O-32-23-20160418-GEN-DNA1,,BMI_Plate1WellG9,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_040-O-32-23-20160418-GEN-DNA1_16S_20201203T222306.171Z.csv,BART_040-O-32-23-20160418-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,20194,OK,,20210113T181344Z,RELEASE-2021,""
e26c6f22-b7c3-4945-96c4-f7c00610c0bf,D01,BART,BART_071,BART_071.basePlot.bgc,NEON HQ,2016-04-18T18:24Z,2020-10-19,soil,BART_071-O-8-13-20160418-GEN,,BART_071-O-8-13-20160418-GEN-DNA1,,BMI_Plate1WellB6,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_071-O-8-13-20160418-GEN-DNA1_16S_20201203T222306.330Z.csv,BART_071-O-8-13-20160418-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,13905,OK,,20210113T181344Z,RELEASE-2021,""
3fb35abf-9d37-474e-ad8d-467dd6ad0b84,D01,BART,BART_071,BART_071.basePlot.bgc,NEON HQ,2016-04-18T18:44Z,2020-10-19,soil,BART_071-O-28-3-20160418-GEN,,BART_071-O-28-3-20160418-GEN-DNA1,,BMI_Plate1WellH5,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_071-O-28-3-20160418-GEN-DNA1_16S_20201203T222306.317Z.csv,BART_071-O-28-3-20160418-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,16993,OK,,20210113T181344Z,RELEASE-2021,""
4482f837-997d-4165-a275-bd77e0351eb7,D01,BART,BART_071,BART_071.basePlot.bgc,NEON HQ,2016-04-18T19:19Z,2020-10-19,soil,BART_071-O-8.5-30.5-20160418-GEN,,BART_071-O-8.5-30.5-20160418-GEN-DNA1,,BMI_Plate1WellD7,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_071-O-8.5-30.5-20160418-GEN-DNA1_16S_20201203T222306.343Z.csv,BART_071-O-8.5-30.5-20160418-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,7089,OK,,20210113T181344Z,RELEASE-2021,""
8029ece3-445c-44ef-9232-fd83bec06ddf,D01,BART,BART_001,BART_001.basePlot.bgc,NEON HQ,2016-04-19T14:30Z,2020-10-19,soil,BART_001-O-8-25.5-20160419-GEN,,BART_001-O-8-25.5-20160419-GEN-DNA1,,BMI_Plate1WellF8,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_001-O-8-25.5-20160419-GEN-DNA1_16S_20201203T222305.636Z.csv,BART_001-O-8-25.5-20160419-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,15019,OK,,20210113T181344Z,RELEASE-2021,""
7d9b549c-9049-4852-af01-ebabb6a5b083,D01,BART,BART_001,BART_001.basePlot.bgc,NEON HQ,2016-04-19T14:57Z,2020-10-19,soil,BART_001-O-20-36.5-20160419-GEN,,BART_001-O-20-36.5-20160419-GEN-DNA1,,BMI_Plate1WellE10,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_001-O-20-36.5-20160419-GEN-DNA1_16S_20201203T222305.531Z.csv,BART_001-O-20-36.5-20160419-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,17477,OK,,20210113T181344Z,RELEASE-2021,""
799a526c-52a9-4b2e-b6df-8d3795d50ed7,D01,BART,BART_001,BART_001.basePlot.bgc,NEON HQ,2016-04-19T15:25Z,2020-10-19,soil,BART_001-O-38.5-8-20160419-GEN,,BART_001-O-38.5-8-20160419-GEN-DNA1,,BMI_Plate1WellE8,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_001-O-38.5-8-20160419-GEN-DNA1_16S_20201203T222305.629Z.csv,BART_001-O-38.5-8-20160419-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,5346,OK,,20210113T181344Z,RELEASE-2021,""
8d7029b0-2311-4c06-85fc-49ce4a56a863,D01,BART,BART_004,BART_004.basePlot.bgc,NEON HQ,2016-04-19T17:50Z,2020-10-19,soil,BART_004-O-0-13.5-20160419-GEN,,BART_004-O-0-13.5-20160419-GEN-DNA1,,BMI_Plate1WellF12,https://s3.data.neonscience.org/neon-os-data/data-frame/BART_004-O-0-13.5-20160419-GEN-DNA1_16S_20201203T222305.821Z.csv,BART_004-O-0-13.5-20160419-GEN-DNA1_16S.csv,NEON_mcc_sequenceVariant_analysis_v1,16S rRNA,bacteria and archaea,vWZ1qVo0h90/3iis8yKEq6Zp2YTjlO/DqY/iwBPUxZE=,,,20441,OK,,20210113T181344Z,RELEASE-2021,""
