"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"spc_biogeochem","uid","Unique ID within NEON database; an identifier for the record","string",NA,"basic","asIs","N",""
"spc_biogeochem","namedLocation","Name of the measurement location in the NEON database","string",NA,"basic","asIs","N",""
"spc_biogeochem","domainID","Unique identifier of the NEON domain","string",NA,"basic","asIs","N",""
"spc_biogeochem","siteID","NEON site code","string",NA,"basic","asIs","N",""
"spc_biogeochem","plotID","Plot identifier (NEON site code_XXX)","string",NA,"basic","asIs","N",""
"spc_biogeochem","nrcsDescriptionID","NRCS identifier assigned to the soil profile description","string",NA,"basic","asIs","N",""
"spc_biogeochem","collectDate","Date of the collection event","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"spc_biogeochem","horizonID","An identifier for the soil horizon","string",NA,"basic","asIs","N",""
"spc_biogeochem","horizonName","Soil horizon name","string",NA,"basic","asIs","N",""
"spc_biogeochem","analysisStartDate","The start date or dateTime of analysis","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"spc_biogeochem","biogeoIDnrcs","Identifier used by NRCS for the biogeochemistry sample","string",NA,"basic","asIs","Y",""
"spc_biogeochem","biogeoSampleType","Type of biogeochemistry sample","string",NA,"basic","LOV","N","spc.bulkDensSampleType"
"spc_biogeochem","biogeoTopDepth","Top depth of the biogeochemistry sample","real","centimeter","basic","*.#(round)","N",""
"spc_biogeochem","biogeoBottomDepth","Bottom depth of the biogeochemistry sample","real","centimeter","basic","*.#(round)","N",""
"spc_biogeochem","biogeoCenterDepth","Depth of the center of the biogeochemistry sample","real","centimeter","basic","*.#(round)","N",""
"spc_biogeochem","airDryOvenDryProcessedDate","Date of processing sample for air-dried to oven-dried ratio analysis","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"spc_biogeochem","airDryOvenDryMethodPub","Citation for publication describing the methods used for air-dried to oven-dried ratio analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","airDryOvenDryMethod","Methods used for air-dried to oven-dried ratio analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","airDryOvenDryRatio","Airdry to ovendry ratio of the <2 mm fraction","real",NA,"basic","*.###(round)","N",""
"spc_biogeochem","gypsumProcessedDate","Date of processing sample for gypsum analysis","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"spc_biogeochem","gypsumMethodPub","Citation for publication describing the methods used for gypsum analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","gypsumMethod","Method used for gypsum analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","gypsumConc","Gypsum concentration of the <2 mm fraction","real","gramsPerKilogram","basic","integer","N",""
"spc_biogeochem","caco3ProcessedDate","Date of processing sample for calcium carbonate analysis","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"spc_biogeochem","caco3MethodPub","Citation for publication describing the methods used for calcium carbonate analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","caco3Method","Method used for calcium carbonate analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","caco3Conc","Carbonate concentration of the <2 mm fraction expressed as calcium carbonate","real","gramsPerKilogram","basic","integer","N",""
"spc_biogeochem","cecProcessedDate","Date of processing sample for cation exchange capacity analysis","dateTime",NA,"basic","yyyy-MM-dd(floor)","N",""
"spc_biogeochem","cecMethodPub","Citation for publication describing the methods used for cation exchange capacity analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","cecMethod","Method used for cation exchange capacity analysis","string",NA,"basic","asIs","N",""
"spc_biogeochem","caNh4d","Ammonium acetate extractable Calcium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",""
"spc_biogeochem","kNh4d","Ammonium acetate extractable potassium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",""
"spc_biogeochem","mgNh4d","Ammonium acetate extractable magnesium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",""
"spc_biogeochem","naNh4d","Ammonium acetate extractable sodium from the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",""
"spc_biogeochem","cecdNh4","Ammonium acetate cation exchange capacity (CEC) of the <2 mm fraction","real","centimolesChargePerKilogram","basic","*.#(round)","N",""
"spc_biogeochem","alSatCecd33","Aluminum saturation of the <2 mm fraction","real","percent","basic","integer","N",""
