name,pubCode,description,startDate,endDate
"spc.analyte","gypsum","Gypsum content of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","caco3","Carbonate content of the <2 mm fraction experssed as calcium carbonate",2012-01-01T00:00:00Z,
"spc.analyte","caNh4d","Ammonium acetate extractable Calcium from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","kNh4d","Ammonium acetate extractable potassium from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","mgNh4d","Ammonium acetate extractable magnesium from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","naNh4d","Ammonium acetate extractable sodium from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","cecdNh4","Ammonium acetate cation exchange capacity (CEC) of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","alSatCecd33","Aluminum saturation of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","baseSumCecd10","Sum of Ammonium acetate extractable bases from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","bsesatCecd10","Base saturation of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","ececCecd33","Effective cation exchange capacity (CEC) of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","alKcl","KCl extractable aluminum from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","feKcl","KCl extractable iron from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","mnKcl","KCl extractable manganese from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","phCacl2","pH of the <2 mm fraction in CaCl2",2012-01-01T00:00:00Z,
"spc.analyte","phH2o","pH of the <2 mm fraction in water",2012-01-01T00:00:00Z,
"spc.analyte","ec12pre","1:2 Electrical conductivity of the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","bSatx","Boron in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","brSatx","Bromine in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","caSatx","Calcium in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","clSatx","Chlorine in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","co3Satx","Carbonate in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","ecSatp","Electrical conductivity of the saturated paste from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","flSatx","Florine in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","waterSatx","Water content on a mass basis of the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","hco3Sx","Bicarbonate in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
"spc.analyte","kSatx","Potassium in the saturation extract from the <2 mm fraction",2012-01-01T00:00:00Z,
