uid,namedLocation,domainID,siteID,plotID,subplotID,clipID,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,utmZone,elevation,elevationUncertainty,slopeAspect,slopeGradient,nlcdClass,plotType,plotSize,plotManagement,setDate,collectDate,eventID,sampleID,sampleCode,samplingProtocolVersion,clipLength,clipWidth,clipArea,targetTaxaPresent,exclosure,remarks,recordedBy,measuredBy,samplingImpractical,biophysicalCriteria,publicationDate,release
9435f031-ff02-4829-b9a3-46fe304c192f,BART_041.basePlot.hbp,D01,BART,BART_041,39,BART_041_0578,WGS84,44.065342,-71.28561,20.2,19N,260.9,0.4,228,6.6,deciduousForest,tower,1600,,2014-07-30T14:00Z,2014-07-30T14:00Z,HBP.2014.BART.01,HBP.BART0410578.20140730,,,2,0.1,0.2,Y,N,"",kkrigest@field-ops.org,sives@field-ops.org,,,20220107T002953Z,RELEASE-2022
f1dbf07d-ae23-49e3-b163-6d28d075f185,BART_041.basePlot.hbp,D01,BART,BART_041,41,BART_041_0939,WGS84,44.065342,-71.28561,20.2,19N,260.9,0.4,228,6.6,deciduousForest,tower,1600,,2014-07-30T14:00Z,2014-07-30T14:00Z,HBP.2014.BART.01,HBP.BART0410939.20140730,,,2,0.1,0.2,Y,N,"",kkrigest@field-ops.org,sives@field-ops.org,,,20220107T002953Z,RELEASE-2022
22eb6321-802a-40c7-9d87-53295074af15,BART_041.basePlot.hbp,D01,BART,BART_041,23,BART_041_0296,WGS84,44.065342,-71.28561,20.2,19N,260.9,0.4,228,6.6,deciduousForest,tower,1600,,2014-07-30T14:00Z,2014-07-30T14:00Z,HBP.2014.BART.01,HBP.BART0410296.20140730,,,2,0.1,0.2,Y,N,"",jhaggett@field-ops.org,eedwards@field-ops.org,,,20220107T002953Z,RELEASE-2022
53dc68bb-1977-4237-a0e5-de056992ff89,BART_041.basePlot.hbp,D01,BART,BART_041,21,BART_041_0156,WGS84,44.065342,-71.28561,20.2,19N,260.9,0.4,228,6.6,deciduousForest,tower,1600,,2014-07-30T14:00Z,2014-07-30T14:00Z,HBP.2014.BART.01,HBP.BART0410156.20140730,,,2,0.1,0.2,Y,N,"",llukas@field-ops.org,cblodgett@field-ops.org,,,20220107T002953Z,RELEASE-2022
47e37ff3-4d87-450d-a07d-228084dfbbce,BART_034.basePlot.hbp,D01,BART,BART_034,41,BART_034_0855,WGS84,44.064284,-71.285608,20.2,19N,265.9,0.3,286,7.4,mixedForest,tower,1600,,2014-07-30T14:30Z,2014-07-30T14:30Z,HBP.2014.BART.01,HBP.BART0340855.20140730,,,2,0.1,0.2,Y,N,"",jhaggett@field-ops.org,eedwards@field-ops.org,,,20220107T002953Z,RELEASE-2022
5b40f323-4920-479c-bae8-03cc4943e5d4,BART_034.basePlot.hbp,D01,BART,BART_034,21,BART_034_0146,WGS84,44.064284,-71.285608,20.2,19N,265.9,0.3,286,7.4,mixedForest,tower,1600,,2014-07-30T14:41Z,2014-07-30T14:41Z,HBP.2014.BART.01,HBP.BART0340146.20140730,,,2,0.1,0.2,Y,N,"",llukas@field-ops.org,cblodgett@field-ops.org,,,20220107T002953Z,RELEASE-2022
253340d8-6010-496c-828b-a639ef64f89e,BART_034.basePlot.hbp,D01,BART,BART_034,39,BART_034_0527,WGS84,44.064284,-71.285608,20.2,19N,265.9,0.3,286,7.4,mixedForest,tower,1600,,2014-07-30T14:47Z,2014-07-30T14:47Z,HBP.2014.BART.01,HBP.BART0340527.20140730,,,2,0.1,0.2,Y,N,"",jhaggett@field-ops.org,eedwards@field-ops.org,,,20220107T002953Z,RELEASE-2022
2f980f66-11e4-43ae-8a9e-d93c01b3c12d,BART_034.basePlot.hbp,D01,BART,BART_034,23,BART_034_0262,WGS84,44.064284,-71.285608,20.2,19N,265.9,0.3,286,7.4,mixedForest,tower,1600,,2014-07-30T15:11Z,2014-07-30T15:11Z,HBP.2014.BART.01,HBP.BART0340262.20140730,,,2,0.1,0.2,Y,N,"",llukas@field-ops.org,cblodgett@field-ops.org,,,20220107T002953Z,RELEASE-2022
a74d22e3-2516-4920-94e6-16141ddb3c82,BART_040.basePlot.hbp,D01,BART,BART_040,39,BART_040_0624,WGS84,44.06576,-71.29199,20.1,19N,260.2,0.2,208,2.1,deciduousForest,tower,1600,,2014-07-30T15:36Z,2014-07-30T15:36Z,HBP.2014.BART.01,HBP.BART0400624.20140730,,,2,0.1,0.2,Y,N,"",sives@field-ops.org,kkrigest@field-ops.org,,,20220107T002953Z,RELEASE-2022
ee564102-44ed-4f58-95fe-86d2baf93f95,BART_051.basePlot.hbp,D01,BART,BART_051,41,BART_051_0817,WGS84,44.062847,-71.287742,20.2,19N,280.4,0.4,104,2.3,deciduousForest,tower,1600,,2014-07-30T15:40Z,2014-07-30T15:40Z,HBP.2014.BART.01,HBP.BART0510817.20140730,,,2,0.1,0.2,Y,N,"",jhaggett@field-ops.org,eedwards@field-ops.org,,,20220107T002953Z,RELEASE-2022
ec5ad19d-05af-4674-853e-2c632415e7c3,BART_051.basePlot.hbp,D01,BART,BART_051,21,BART_051_0201,WGS84,44.062847,-71.287742,20.2,19N,280.4,0.4,104,2.3,deciduousForest,tower,1600,,2014-07-30T15:45Z,2014-07-30T15:45Z,HBP.2014.BART.01,HBP.BART0510201.20140730,,,2,0.1,0.2,Y,N,"",llukas@field-ops.org,cblodgett@field-ops.org,,,20220107T002953Z,RELEASE-2022
f70d29e7-417b-4675-a7ab-9eefcf7d0285,BART_051.basePlot.hbp,D01,BART,BART_051,23,BART_051_0367,WGS84,44.062847,-71.287742,20.2,19N,280.4,0.4,104,2.3,deciduousForest,tower,1600,,2014-07-30T16:00Z,2014-07-30T16:00Z,HBP.2014.BART.01,HBP.BART0510367.20140730,,,2,0.1,0.2,Y,N,1 square cm of moss was on a log in strip but was too short to clip,llukas@field-ops.org,cblodgett@field-ops.org,,,20220107T002953Z,RELEASE-2022
